CODICE Staz.;Stazione
1780;Aggius
580;Ales
670;Arborea
2430;Arqueri' c.ra
1870;Arzachena
2240;Arzana
1000;Austis
470;Bacu Abis
2370;Ballao
590;Baradili
2260;Barisardo
210;Barrali
1820;Bassacutena
2500;Bau Muggeris
940;Benzone
1220;Bonorva
740;Borore
830;Bottida
1540;Budduso'
1980;Budoni
2630;Burcei
1070;Busachi
1500;Caddau
2690;Cagliari
1800;Calangianus
280;Capoterra
1400;Cargeghe
460;Carloforte
2580;Castiadas
1600;Chilivani
120;Colonia Penale Sarcidano
2640;Corongiu
1180;Cuglieri
2590;Cuili Seu
950;Desulo
220;Dolianova
340;Domusdemaria
230;Donori
2100;Dorgali
2470;Esterzili
1320;Fertilia
2680;Flumini di Quartu
510;Fluminimaggiore
2530;Gairo Taquisara
2140;Galtelli'
920;Gavoi
2290;Genna Cresia
1040;Genoni
140;Gergei
2190;Giustizieri
2380;Goni
530;Gonnosfanadiga
170;Guasila
660;Idrovora 14
665;Idrovora Sassu
790;Illorai
130;Is Acquas Sarcidano
290;Is Cannoneris
1570;Ittireddu
1280;Ittiri
2030;Lode'
2020;lula
100;Lunamatrona
1810;Luogosanto
1520;Mazzinaiu C.ra
1020;MeanaSardo
1100;Mogorella
600;Mogoro
605;Mogoro Diga
2060;Montes
520;Montevecchio
330;Monti Nieddu
70;Montimannu
2330;Muravera
1960;Murta Maria
420;Narcao
490;Nebida
770;Noragugume
2390;Nurri
430;Nuxis
1890;Olbia
2090;Oliena
1310;Olmedo
2070;Orgosolo
680;Oristano
990;Ortuabis
890;Ottana
1560;Ozieri
560;Pabillonis
1950;Padru
1840;Palau
370;Pantaleo
1550;Pattada
700;Paulilatino
1680;Perfugas
1650;Pianu Ladu
2691;Pirri
300;Piscinamanna
1640;Ploaghe
1080;Pranu Antoni
1290;Putifigari
1920;Putzolu C.ra
1110;Riola Sardo
1240;Romana
400;Rosas (Miniera)
1300;Rudas
2660;Sa Pira
2225;Sa Teula (centrale)
2350;San  Nicolò Gerrei
540;San Gavino Monreale
1470;San Giovanni Coghinas
30;San Giovanni Domusnovas
440;San Giovanni Suergiu
1860;San Pantaleo
2320;Santa Barbara
710;Santa Chiara d'Ula
650;Santa Giusta
1580;Santa Lucia di Bonorva
1700;Santa Maria Coghinas
980;Santa Sofia
1740;Santa Teresa di Gallura
690;Santa Vittoria Diga
190;Sant'Andrea Frius
345;Sant'Anna Arresi
640;Sant'Anna di Oristano
1140;Santulussurgiu
1670;Sedini
180;Segariu
1150;Seneghe
1450;Sennori
2700;Sestu
2440;Seui
2420;Seulo
2520;Sicca d'Erba
870;Sig. Marta
760;Silanus
50;Siliqua
1090;Simaxis
1250;Sindia
1010;Sorgono
500;Su Zurfuru
1990;Suaredda
2200;Talana
1940;Taroni C.ra
1170;Tega
1910;Telti
675;Terralba
410;Terraseu
350;Teulada
930;Tiana
960;Tonara
2040;Torpe'
1190;Tresnuraghes
610;Uras
1390;Uri
2540;Ussassai
1710;Valledoria
80;Villacidro
2220;Villagrande Strisaili
110;Villamar
40;Villamassargia
2400;Villanovatulo
2340;Villasalto
1530;Zuighe
